en	[crowd cheering] | 
he	‫- נפטר בטרם עת והיה אחד מהילדים -‬ | 
id	PERGI TERLALU CEPAT | DAN SALAH SATU ANAK-ANAK | 
nl	Veel te vroeg heengegaan en een van de aardigste, leukste… 
ar	‫رحل عنا باكرًا وهو أحد ألطف وأروع وأطرف‬ | 
cs	Nejmilejší, nejpohodovější, nejvtipnější a nejtalentovanější 
da	GIK BORT ALT FOR TIDLIGT. ET AF DE SØDESTE, SJOVESTE 
es-eu	Nos deja demasiado pronto uno de los chicos más divertidos 
fr	Parti trop tôt et l'un des plus gentils, plus cool, plus drôles, 
it	Scomparso troppo presto e uno dei ragazzi più gentili, simpatici, 
th	(จากไปก่อนเวลาอันควร และเป็นเด็กที่ใจดีที่สุด เยี่ยมที่สุด ตลกที่สุด) 
tr	ÇOK ERKEN HAYATA VEDA ETTİN. TANIDIĞIMIZ EN NAZİK, 
vi	RA ĐI QUÁ SỚM VÀ LÀ MỘT TRONG NHỮNG NGƯỜI TỐT NHẤT, NGẦU NHẤT 
zh-long	（天妒英才，他是心地善良） 
zh-short	（英年早逝 你是我们所知的 最善良、帅气、幽默） 
fi	Lähti liian aikaisin. Ystävällisimpiä, siisteimpiä, hauskimpia - 
no	En snill, kul, morsom og talentfull gutt som gikk bort så altfor tidlig. 
ja	&lrm;あまりにも早い死を遂げた | &lrm;才能あふれる役者 | 
sv	En av de snällaste, coolaste, roligaste och mest begåvade grabbarna vi har känt. 
ru	И БЫЛ САМЫМ ДОБРЫМ, КРУТЫМ, ВЕСЕЛЫМ И ТАЛАНТЛИВЫМ ПАРНЕМ. 
de	Einer der liebsten, coolsten, lustigsten, talentiertesten Jungs, die wir kannten. 
ms	Antara budak paling baik, hebat, kelakar dan berbakat kami pernah kenali. 
he	‫- הכי מוכשרים, מצחיקים,‬ | ‫מגניבים ונחמדים שהכרנו. -‬ | 
id	PALING BAIK, KEREN, LUCU, BERBAKAT | YANG KAMI KENAL. | 
es	MÁS BUENOS, GENIALES, DIVERTIDOS Y TALENTOSOS. 
pt	e engraçados que conhecemos. 
hu	ÉS LEGTEHETSÉGESEBB GYEREK VOLTÁL, AKIT ISMERTÜNK. 
ko	"너무 일찍 떠난 그 친구를" 
nl	…en meest talentvolle kinderen die we kenden. 
pt-br	engraçados e talentosos que conhecemos. 
pl	i najbardziej utalentowanych dzieciaków. 
ar	‫وأكثر شاب موهوب عرفناه.‬ | 
cs	mladík, jakého jsme znali. Odešel příliš brzy. 
da	OG MEST TALENTFULDE BØRN. 
el	και ταλαντούχα παιδιά που ξέραμε. 
es-eu	y con más talento que conocíamos. 
fr	et plus talentueux gamins qu'on connaissait. 
it	e talentuosi che abbiamo conosciuto. 
th	(และมีพรสวรรค์ที่สุดเท่าที่เราเคยรู้จัก) 
tr	HAVALI, KOMİK VE YETENEKLİ ÇOCUKLARDAN BİRİYDİN 
vi	HÀI HƯỚC NHẤT, TÀI NĂNG NHẤT CHÚNG TÔI BIẾT 
zh-long	（幽默風趣，才華洋溢的年輕人） 
zh-short	（最有天赋的孩子） 
ro	și talentați puști pe care îi știam. 
fi	ja lahjakkaimpia tuntemiamme lapsia. 
hr	i najtalentiranijih ljudi koje poznajemo. 

